final_reward,step
-256.5476228247816,0
-284.8220555419122,1
-101.2475206005764,2
-306.83322360468526,3
-175.12279225715906,4
-112.10242215448514,5
-71.52222496367254,6
-97.3660679945993,7
-108.74766765100212,8
-133.69591385748134,9
6.17645157775587,10
-197.08973213931858,11
-81.70764762159071,12
-377.79674464797085,13
-108.32597356160669,14
-113.99721761314414,15
-381.4180346231837,16
-327.2896558865564,17
-37.629148205707764,18
-127.13200585742474,19
-176.2822281516161,20
-126.33552691237516,21
-131.88298813089767,22
-72.2974123151099,23
-38.80827568653823,24
-347.2900032009253,25
-144.41372452404028,26
-77.04803490149239,27
-40.29480255766654,28
-200.76208680092742,29
-75.87198809027265,30
-242.90447012356753,31
-365.15619174842794,32
-278.07720775539656,33
-79.77333884885357,34
-213.20120118482726,35
-270.9943996338095,36
-63.22401713441486,37
-102.14553664033882,38
-10.499688737967915,39
-308.22988880908827,40
-331.9071016376788,41
-41.8812277094155,42
-313.8900644412422,43
-67.52461385433048,44
-97.80393924440847,45
-322.13742124861324,46
-385.6609570541293,47
-272.4003144789289,48
-257.50304113809773,49
-246.5672117778185,50
-105.35788496926823,51
-353.1419298747585,52
-60.36204558930804,53
-100.75976997156647,54
-45.69844266017041,55
-361.5203510295476,56
-44.315011334365096,57
-163.7937265351565,58
-438.07987282809705,59
-208.18565428658982,60
-330.86727333868896,61
-203.2760359956851,62
-149.5077693937056,63
-455.74243806493456,64
-359.8486129019292,65
-52.43674707741717,66
-183.73027693680615,67
-278.85374854814074,68
-135.7601359297925,69
-185.2987098402175,70
-316.887463517132,71
-33.55442259980212,72
-97.58464007716259,73
-195.42759098709175,74
-44.81116998951988,75
-430.9093689069696,76
-81.33372227254019,77
-113.21277965200757,78
-287.28539646838783,79
-126.16265234021157,80
-413.12133130877646,81
-456.120436948091,82
-45.86226412561882,83
-171.55567872248469,84
-21.16362629109281,85
-105.46842133996918,86
-226.87606508943247,87
-293.42395588206875,88
-408.23785791643627,89
-97.73585995314804,90
-184.47827457366031,91
-165.86932783410572,92
-458.4612095382285,93
-368.81730085765895,94
-142.42587919042214,95
-222.2124427956104,96
-155.8282679444402,97
-361.32850801537774,98
-98.84928049489498,99
-106.18419621406142,100
-358.08998870312524,101
-72.56185029114738,102
-291.91274972451424,103
-307.6285106747521,104
-78.27329574556364,105
-195.28400482244535,106
-88.72906273117313,107
-68.43751671774612,108
-344.3951383626737,109
-220.2292900940323,110
-323.38175835374847,111
-178.19140248456068,112
-384.1666018837951,113
-24.919824608722763,114
-152.36981087415458,115
-97.27357370891765,116
-300.08871182687733,117
-240.49616078537957,118
-160.90234467694287,119
-238.5271561187167,120
-312.49626277815264,121
-257.9551003938544,122
-310.77870764461096,123
-485.6775587326451,124
-53.617447172857204,125
-132.2956851075749,126
-311.9310285348515,127
-61.712165057416165,128
-122.72638726204478,129
-182.04146190514973,130
-198.31647486902642,131
-223.75741861470186,132
-221.4874179473851,133
-122.1981026688363,134
-326.0526091810294,135
-330.41349417585275,136
-333.6838417684303,137
-54.78378737692993,138
-238.97654175104802,139
-53.30987958276337,140
-82.96570476517236,141
-159.48371647325337,142
-391.7757094992524,143
-83.68068896947356,144
-319.6315589668769,145
-380.33151682424483,146
-104.91599246510057,147
-411.2268678533019,148
