final_reward,step
-341.4634262483064,0
-222.39362020423806,1
-247.80657204761664,2
-238.03004806479646,3
-202.9575529097579,4
-107.75098294458176,5
-184.59953655123627,6
-386.29036467020694,7
-181.81813926129692,8
-118.68557935911508,9
-252.95975569734844,10
-484.39282549694235,11
-303.54096486370184,12
-413.26434564330845,13
-130.2655854010772,14
-507.004914460776,15
-166.07725428804645,16
-65.43922732865967,17
-182.3807407888064,18
-52.84990080423272,19
-446.58225417461813,20
-233.9275349176214,21
-151.8792464777712,22
-20.985251984906768,23
-120.07059556474253,24
-285.1152886830673,25
-63.5972379054585,26
-209.76307526057784,27
-301.34386359194025,28
-95.17648374524781,29
-397.11444554107936,30
-7.172298615980722,31
-246.03189598653267,32
-123.28132899208214,33
-360.1467432165017,34
-188.20217486905818,35
-173.91581997896478,36
-68.86751910601303,37
-24.493345635716977,38
-186.8904954346844,39
-329.6076372410588,40
-141.4849513762165,41
-99.92906262015183,42
-334.90248456144263,43
-347.5174308838612,44
-187.46226104588246,45
-188.77732719512386,46
-389.3272204341021,47
-334.9462970998328,48
-212.8270635457667,49
-190.29728462471044,50
-53.71267377235162,51
-119.61140538874959,52
-31.91459830092498,53
-411.2890912185267,54
-148.72692394061983,55
-232.1461658792474,56
-28.31052672393642,57
-241.4318069469336,58
-216.8274595284483,59
-408.5945841319606,60
-175.11856996262287,61
-200.37860734914184,62
38.24756159440457,63
-185.21536972935502,64
-40.160002802898305,65
-276.13057712832716,66
-226.5334924047074,67
-226.2112369855924,68
-94.97322083179307,69
-92.27914382985689,70
-243.16622555687132,71
-282.54887649252044,72
-458.26670901045026,73
-160.71210162446624,74
-321.54619826883766,75
-292.0941633951071,76
-193.2789753113105,77
-85.06073004963018,78
-280.9426055253206,79
-101.49311541735158,80
-135.03883735848433,81
-319.4217858690987,82
-237.83603749665295,83
-75.79704915683772,84
-21.00281015328214,85
-87.74197194040899,86
-253.2095676773609,87
-69.18103457404743,88
-158.54124635740172,89
-55.54380348423985,90
-120.2797967424331,91
-242.14520222304535,92
-242.76833667537701,93
-176.72798861772833,94
-141.81602268549506,95
-285.89862183373964,96
-384.58849047183713,97
-494.0191410672837,98
-127.29510386447622,99
-276.64927304149467,100
-116.94396154968783,101
-126.23732587908468,102
-106.09170881441713,103
-281.76210330102367,104
-217.8690379785279,105
-89.1917200799534,106
-264.1218541121993,107
-69.41419536166701,108
-408.8309810859284,109
-85.96288925923982,110
-282.20084158219584,111
-354.176466012663,112
-432.54549863690073,113
-302.3371488741167,114
-235.596701883961,115
-229.1651188595797,116
-247.95634545701097,117
-306.2574804245565,118
-201.9074471392584,119
-240.78062030519442,120
-125.38458900982063,121
-140.18778573403222,122
-122.88923738890162,123
-110.23703710411914,124
-476.3178895325299,125
-374.18581619922867,126
-304.3377227165804,127
-295.92043449265157,128
-59.647868383997235,129
-40.41796150573839,130
-403.8153802577722,131
-74.36779700289527,132
-583.6092614653066,133
-257.24786464016364,134
-117.78929040477297,135
-174.40097719383198,136
-329.15417877646837,137
-58.25966316251811,138
-126.10747076979384,139
-91.08021929129094,140
-250.95265284530913,141
-79.86817550214359,142
-451.48720564420466,143
-78.03797097965884,144
-404.3356749520156,145
-103.64454803195125,146
-132.40200368445278,147
-77.59277573442748,148
-433.0665508944864,149
-429.2770209694615,150
-146.0482256805038,151
-145.42295130945115,152
-377.31619282232856,153
-63.31714619462893,154
-85.69138354180731,155
-134.46962211007246,156
