final_reward,step
-107.10943114440131,0
-123.17623841381206,1
-57.93853367148199,2
-177.6508227570402,3
-269.6737749252957,4
-380.10869783626606,5
-72.79360943396657,6
-335.76914610188214,7
-256.190318269607,8
-131.69457758064857,9
-106.10488077296023,10
-151.65249623112476,11
-180.09857271342548,12
-216.14034009140477,13
-319.1896753207568,14
-160.12970730940788,15
-210.30518392518394,16
-174.39321776762358,17
-371.32093469783297,18
-193.32682302715926,19
-216.03077995868168,20
-49.87099631893262,21
-356.04627631822314,22
-341.65111998463954,23
-247.74987244665482,24
-111.63953401049147,25
-353.6670105514969,26
-274.4038846292432,27
-303.7866258669517,28
-439.21969020810525,29
-96.45647796741828,30
-328.2247921104638,31
-286.9286936415547,32
-248.60365673628795,33
-388.75858857935793,34
-226.96518787844462,35
-245.60152473566262,36
-165.43617943978262,37
-118.28195572771958,38
-59.182980025275526,39
-190.22043824391454,40
-73.95403230965125,41
-200.86983380545394,42
-141.93203680066603,43
-344.9635773926045,44
-437.90628570090996,45
-88.78301835093707,46
-376.4168052220497,47
-231.05425697171276,48
-121.60981532834202,49
-77.74165521131246,50
-74.22560058197607,51
-127.49445511890636,52
-161.3128770909039,53
-182.42007429878362,54
-188.67715559273682,55
-276.6367174735173,56
-294.71932006510724,57
-340.57668697392205,58
-92.6558755886135,59
-39.759931575799406,60
13.860357330695209,61
-86.02670480421003,62
-299.79720605377975,63
-196.15309981847497,64
-271.7563369993934,65
-174.14194978078675,66
-223.71765814531705,67
-65.70160816932193,68
-309.71542625278073,69
-187.74407376911716,70
-183.23921070628165,71
-69.16799948166582,72
-38.807773535198145,73
-324.4004227783048,74
-83.37639264440335,75
-57.83205378126607,76
-96.4107060723583,77
-94.4929066945906,78
-416.99357013361174,79
-330.9219635373488,80
-44.10496588395435,81
-305.5824885612104,82
-275.33204243964065,83
-216.82838889596178,84
-176.48444628500965,85
-265.19803595884673,86
-109.72428599660897,87
-88.79133129399708,88
-340.05306754564987,89
-71.51695578970882,90
-380.0751475019314,91
-99.77821299995081,92
-75.34680097446963,93
-85.66541357029249,94
-74.66754733101702,95
-171.26212853807363,96
-370.79876263873615,97
-167.62696170193203,98
-28.680687588626782,99
-189.80442303339495,100
-223.07581898072402,101
-203.66415418755696,102
-35.4393589431435,103
-28.83749908149585,104
-132.17171500730143,105
-29.521034255914373,106
-93.22945814946966,107
-90.09778924598116,108
-153.13487293581676,109
-286.41679752180886,110
-78.8975055709537,111
-43.40624555877617,112
-72.44546551873401,113
