final_reward,step
-42.04866675787792,0
-365.589007840916,1
-121.95908856118376,2
-106.7841962840702,3
-124.99055869958086,4
-57.86640255513915,5
-51.491003011322746,6
-245.44941368310697,7
-84.34234614129905,8
-47.832670629842106,9
-347.47366456207203,10
-435.1923118871618,11
-155.66472624066833,12
-411.48536930557,13
-413.9299194343884,14
-192.212300799506,15
-315.83302437002976,16
-439.2488732812149,17
-164.721023524172,18
-132.73816594569595,19
-110.72622948717074,20
-218.9959076313553,21
-443.2753665658104,22
-140.0881978890509,23
-408.19237691926077,24
-102.82399477416836,25
-45.26539835771715,26
-100.71220970909533,27
-26.80835769854265,28
-224.44779658186894,29
-62.245400202446504,30
-325.48931385997713,31
-415.5565041413143,32
-296.04548642463465,33
-255.18034920354998,34
-371.67477724851204,35
-371.0325699788164,36
-30.69821224205006,37
-457.14965801659037,38
-263.63871330204455,39
-149.95978664101892,40
-190.98664476023828,41
-112.48867881634669,42
-118.32652820848745,43
-392.5654973085682,44
-176.01108851706033,45
-53.75544564443955,46
-127.80004403194002,47
-439.3116770134793,48
-96.38147447742915,49
-270.0323839944134,50
-54.50860981620403,51
-549.2037366129962,52
-104.57275255534303,53
-9.24779389692057,54
-209.5579417701855,55
-88.83881197161061,56
-124.42988684809005,57
-464.36142566702824,58
-429.2465627809476,59
-471.72686070851086,60
-126.61301281079457,61
-205.19408872594846,62
1.5286295931153973,63
-409.1361038641524,64
-191.70402699553236,65
-30.631400334498352,66
-56.66891532932087,67
-424.02514800630985,68
-54.534042679393636,69
-298.31432084370505,70
-80.40811009214013,71
-382.78770858145,72
-420.2411323835205,73
-407.54545741746784,74
5.894398550301958,75
-148.54491440986027,76
-37.191497361390546,77
-356.2181614448519,78
-137.87227911558858,79
-399.86547701399246,80
-21.672186532465133,81
-349.1831183295526,82
-31.78397868744922,83
-377.45276643806915,84
-33.990133009890016,85
-261.8804136231345,86
-141.345418462931,87
-58.93410471096032,88
-243.910569636625,89
-425.444187240638,90
-301.75939095239767,91
-279.6995170564047,92
-324.89157760108355,93
-301.3427620361824,94
-445.701042904866,95
-293.96062779625106,96
-338.99611406373975,97
-389.86843812633174,98
-340.90286245628386,99
-64.70001163900099,100
-388.5297835307371,101
-411.564854275209,102
-318.4815634622753,103
-129.76732258580586,104
-350.1277127926885,105
-94.87811648190748,106
-340.330468514873,107
-231.00325292260789,108
-73.96989538007153,109
-264.5780938595256,110
-272.4733532121187,111
-97.22059725916799,112
-362.99228979879746,113
-18.860627892771134,114
-138.44396019804856,115
-71.65029214921103,116
-96.77289188644114,117
-101.43453452709782,118
-399.3246108089201,119
-371.6337897208775,120
-111.20255796815817,121
-411.73633640952676,122
-72.18215209686025,123
12.765072755941077,124
-121.182063365564,125
-126.3995557748312,126
-109.97352777014927,127
-301.9689876983142,128
-281.51456885228015,129
-348.03832598273846,130
-159.91998305519218,131
-287.0218666439458,132
-196.0639380433617,133
-110.58201580743179,134
-199.4045412476408,135
-359.3266695770141,136
-94.87428541804816,137
-122.22198723511477,138
-108.2869744307861,139
-87.7799395191577,140
-237.19096446243606,141
-314.8920994774021,142
-96.26641298532411,143
-59.660733756534356,144
-287.69139393728574,145
-199.29880630572913,146
-299.79557649413744,147
-76.91304270016437,148
-168.70285674886495,149
-301.0316984809589,150
-138.89939684979404,151
-365.64193767204995,152
-244.8290821181655,153
-126.09000720159128,154
